Country Name,Developed,Gragner Causality(chi2 value),p-value
Netherlands,1,2.0900429285908317,0.19839602389666058
Qatar,1,8.676761569323393,0.02575849776524462
Spain,1,1.2381358779432277,0.3084138116386017
Latvia,1,2.518467142181755,0.163616798908553
Israel,1,1.6982235579452523,0.240292523129308
Montenegro,1,0.8949405515636719,0.3806646763636455
Iceland,1,74.8224245576641,0.00013157862892608328
Italy,1,3.1486406205605384,0.126345080239539
Finland,1,3.7276662307004242,0.10174308115487583
Costa Rica,1,0.5371543184061736,0.49124403649910653
Panama,1,3.469220272571438,0.11182246191214712
United States,1,1.6208068024830964,0.2500796094510295
United Kingdom,1,0.861303523838437,0.38918309993420025
Serbia,1,0.11189733465640703,0.7493779759679987
Belarus,1,0.6963495502397511,0.43597106591952484
Singapore,1,1.4804056534435655,0.26939596312750247
Denmark,1,8.057836768358863,0.02962005527739064
Luxembourg,1,2.2111265350475513,0.1875759472938037
Oman,1,2.7447923435076484,0.14864892739489713
Romania,1,1.1244542540135785,0.32976982428542817
Hungary,1,0.35317660207440815,0.5740295297922865
New Zealand,1,1.0220082874647305,0.35106013022600485
Germany,1,1.7845563157793185,0.23002678554161662
Uruguay,1,2.334309219715248,0.17741141550172898
Cyprus,1,0.33575791960418666,0.5833734462298851
Ireland,1,4.922311954848073,0.06832680266307768
Portugal,1,2.043111790181351,0.20283081060550892
Sweden,1,1.6191001608468616,0.2503019317458328
Croatia,1,0.5098976275983774,0.5020036384742813
Estonia,1,0.265221622506637,0.6249709458520281
Thailand,1,0.046360959487687696,0.8366534779036142
Kazakhstan,1,6.086428565183747,0.04865070647420214
Belgium,1,0.627559884006823,0.4584188424692469
Austria,1,5.115317909746785,0.06439697756712781
Slovenia,1,1.0475610995287017,0.34555105613375076
Mauritius,1,8.0013538189317,0.030010306838606452
Lithuania,1,2.4887537485837417,0.1657375523256124
Japan,1,0.6776238977951694,0.4418880221147567
Australia,1,1.0895739066684005,0.33678525396050507
Malaysia,1,0.3302339238654584,0.5864061608437455
Middle East & North Africa (excluding high income),0,1.4318894709436423,0.2765896095983944
IDA only,0,0.0009489872434769113,0.9764236969362754
Puerto Rico,0,0.8111334140535413,0.4024860066954305
Upper middle income,0,4.247330958121414,0.08494993206017155
East Asia & Pacific (IDA & IBRD countries),0,0.13601119249394164,0.7249426739740288
Zambia,0,0.0819296384385307,0.7843253366482307
Least developed countries: UN classification,0,5.074448817182168,0.06520296805770395
South Africa,0,0.4582738885703195,0.5236591822540302
Heavily indebted poor countries (HIPC),0,2.4224528278337614,0.17061171718276535
Sierra Leone,0,0.0018035967532542257,0.9675030129319341
Turkiye,0,0.016340849091927394,0.9024592906949563
Rwanda,0,2.5284901949868375,0.16291004689264232
OECD members,0,1.6994677098399795,0.2401398608106167
Ghana,0,0.07299256264350984,0.79608089428119
Bolivia,0,9.942535225622859,0.019734979724974826
Sub-Saharan Africa (IDA & IBRD countries),0,1.2246256397499216,0.31083830766130627
Zimbabwe,0,0.6257302858972946,0.4590436440387132
Cote d'Ivoire,0,0.631842637145955,0.4569622000397356
Aruba,0,0.2881483182293033,0.6107203253568355
Kyrgyz Republic,0,1.669699281128072,0.24383198542825893
Latin America & Caribbean (excluding high income),0,2.3665745931249127,0.17487853892497018
Comoros,0,3.0248533073377066,0.1326550961754572
Seychelles,0,0.11754730940807291,0.7434026028110591
Early-demographic dividend,0,4.9368846572685845,0.06801887725137366
Nicaragua,0,0.13126246016367077,0.7295457218488588
"Bahamas, The",0,0.13372813473906936,0.727143929322888
Vietnam,0,0.6642466755980259,0.4462012874842702
Pre-demographic dividend,0,1.808838286143545,0.2272547930699856
Vanuatu,0,0.17709155391057346,0.688541595411494
Guinea,0,0.06304100048786271,0.8101300956393687
High income,0,0.8625778723629716,0.38885469456453375
Bulgaria,0,0.0074677881994523595,0.933947141317953
"Gambia, The",0,0.29376676002078633,0.6073426037836012
Algeria,0,0.2108229962394825,0.6622874198467323
IDA & IBRD total,0,4.092070204312533,0.08954166856609926
Pacific island small states,0,2.5021177156839123,0.16477894873169627
Lebanon,0,21.087920503233818,0.0037225768202399944
Fragile and conflict affected situations,0,0.016892979807929052,0.9008357108041534
Late-demographic dividend,0,3.1182840732202424,0.12785324078126817
Tunisia,0,0.01168093788165972,0.917457130271648
